"id","register_number","number_of_collection","local_name","type","collector_id","status","user_created","date_created","user_updated","date_updated","specific_type","date_of_collection","locality_or_location","latitude","longitude","altitude","habitat","field_note","determinated_by","date_determinated","uses_or_bioprospect","use_category","kingdom","phylum","classis","ordo","family","genus","species","featured_image.id","featured_image"
"213F1A9C-E4D9-46E3-BBA7-C26F1E435C52","BUNP-000001","D1D85038","Bunga Kertas","herbarium",3,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:28.413Z","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-30T02:44:33.136Z",,,"Jatinangor","-","-","-","Terestrial","-","-",,"-","-","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctagynaceae","Bougainvillea","Bougainvillea spectabilis","22758077-4A6C-42EE-B0F2-DB999AE99C93",
"91616104-3D6D-44A2-9C78-55D23D36424B","BUNP-000002","D1D85038","Bunga Kertas","herbarium",3,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:28.430Z","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-30T02:44:17.626Z",,,"Jatinangor","-","-","-","Terestrial","-","-",,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctagynaceae","Bougainvillea","Bougainvillea spectabilis","28EC77B3-45AF-4C23-BD98-426D4AB15363",
"AB0F9725-09F2-4317-A5F5-E17A7D123675","BUNP-000003","D1D85019","Areuy patuh manuk","herbarium",4,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:28.443Z","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-30T02:44:10.176Z",,,"Jatinangor","-","-","-","Terestrial","-","-",,,,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Thunbergia","Thunbergia alata","61B646AD-AADF-419F-8337-822607D1FA82",
"862B5C4E-DAF8-41E2-BE82-57D959AF4ED5","BUNP-000004","D1D.85.068","Jukut Nyenyerean","herbarium",5,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:28.456Z","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-30T02:44:01.976Z",,,"Jatinangor","-","-","-","Terestrial","Tinggi dapat mencapai 1 m","-",,"-","-","Plantae","Tracheophyta","Liliopsida","Poales","Gramineae","Sporobolus","Sporobolus berteroanus Hitchc","F3A39BD1-5B0F-44A3-922F-10F1EEF02910",
"8E5D5AFB-70CA-460F-8CCF-50F0FCC303D5","BUNP-000005","D1D.85.068","Jukut Nyenyerean","herbarium",5,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:28.470Z","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-30T02:43:53.200Z",,,"Jatinangor","-","-","-","Terestrial","Tinggi dapat mencapai 1 m","-",,"-","-","Plantae","Tracheophyta","Liliopsida","Poales","Gramineae","Sporobolus","Sporobolus berteroanus Hitchc",,
"B0BDBA5A-7633-49A4-83A1-F2F87DA8B069","BUNP-000006","D1D85019","Leng-lengan","herbarium",4,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:28.496Z","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-30T02:43:43.093Z",,,"Jatinangor","-","-","-","Terestrial","-","-",,"-","-","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Labiatae","Leucas","Leucas lavandulaefolia","D405355D-6DD0-42AF-BF78-217C3B2CA403",
"7FFCFD96-8571-4D3F-B40E-83564727BE81","BUNP-000007","D1D85019","Leng-lengan","herbarium",4,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:28.506Z","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-30T03:06:13.266Z",,,"Jatinangor","-","-","-","Terestrial","-","-",,"-","-","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Labiatae","Leucas","Leucas lavandulaefolia","CFF7496A-5A79-4AD3-9FA6-BB5F6DAF9E75",
"D0E7969D-3DED-4D5B-B0C2-AE6E3DECA3AC","BUNP-000008","s.n.","Ki Hileud","herbarium",6,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:28.520Z","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-30T03:07:19.123Z",,,"Jatinangor","-","-","-","Terestrial","Frekuensi 5 buah, berkelompok","-",,"-","-","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Labiatae","Hyptis","Hyptis capita","E0428C30-A635-4702-AE8E-421EF76FAFC2",
"0913F666-ACC0-448C-96D9-864507BC34CB","BUNP-000009","BI 2521","Awi Tamiang","herbarium",7,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:28.530Z","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-30T03:10:55.150Z",,,"Dusun Cikakak, Desa Selaawi, Kec. Selaawi Kabupaten Garut","-","-",,"Kebun Bambu","-","Budi Irawan",,"Buluh untuk suling","alat musik","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Schizostachyum","Schizotachyum silicatum","0D4C1447-931D-4003-9B15-801982F6F26A",
"47915B7B-851B-4D9C-8349-96C27199180F","BUNP-000010","BI 996","Bakau Hitam","herbarium",7,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:28.543Z","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-30T03:15:01.743Z",,,"Bambanipa, Bali ara, P. Kabaena, Sultra","05° 15' 10,0"" LS","121° 48' 25,8"" BT","Low","Mangrove Forest","-","Budi Irawan",,"-",,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Rhizophoraceae","Rhizophora","Rhizophora mucronata Lamk","74479156-5A18-47F8-B67C-BCFD762E9F71",
